TEXTOS,y
"TW
.
.
.
.

já furaram minha cabeça com um garfo de plástico quebrado. eu tinha uns 9/10 anos de idade. mas sofri bullying o fundamental 1 inteiro. e isso me machuca até hoje, principalmente porque o cara que me jogou no chão e me chutou faz o msm curso que eu, na msm faculdade",1
"TW
.
.
.
quando eu era mais nova, sofri muito bullying. me machucaram muito (fisicamente também), inclusive apanhei pra caralho uma vez pq não quis entregar uma garrafa de plástico (de água, QUE EU BEBI) com a qual eu tava brincando +",1
o bullying simplesmente roubou um pedaço da minha vida eu passei 3 anos me escondendo de todas as formas possíveis pq me disseram que eu era horrível,1
"um menino fazia bullying cmg na escola aí falei pro meu primo que estudava na msm escola, dois anos acima do meu, ele bateu no menino e ele nunca mais chegou perto de mim e tinha medo só de olhar na minha direção dps disso",1
"Um pouco de bullying, algumas amizades e bolsa 100% então gratidão mesmo assim",1
"No fundamental, eu era a criança hiperativa que encontrava na ed fis uma válvula de escape pra me soltar
O fato de ter sofrido bullying e ter sido sempre o último a ser escolhido/único a ficar de fora me deixava muito péssimo a ponto de me fazer odiar essa matéria até hoje",1
"Piazada quer falar de bullying pra mim, logo eu que desde os 7 anos de idade era chamado de Buddy Poke e Jack Chan pelos meninos mais velhos da escola",1
Vc já foi alvo de bullying? — Sim :(,1
@tsukihara_ Pq eu sou o que mais vai zoar se eu n faço mais bullying com vc?? Preocupe-se com o caio e Shiro,1
"vim relatar uma abuso
estou sofrendo bullying do @qqpegagui e do marcelo",1
"@Caioluizst vei ele viajou demais 
pode até ter bullying e tal 
pq é normal em QUALQUER instituição 
mas POÇO DE BULLYING? 
meu filho????
nunca nem pisou lá e quer falar alguma coisa",1
"[31/7 21:18] Meu Casinho De Amo e Ódio ♡: Tu n tem nem tamanho de gnt Ariadne!
[31/7 21:19] Ari: Ixiiiiii
[31/7 21:20] Meu Casinho De Amo e Ódio ♡: 🤷🏻‍♀ rlx a popota aí meio metro
[31/7 21:20] yeska : BERRO KKKKKK

O bullying que eu sofro diariamente por ter 1,55",1
"Vocês realmente são tão vazios que acham graça em fazer bullying com os outros? E as pessoas que viram e não fizeram nada, tem culpa também",1
Vocês sofrem bullying do ex? Eu sim kkkkkkkkk,1
Vocês também comentem bullying com seus amigos até eles chegarem a esse ponto? KKKKKKKKKK,1
Vou chegando na casa da minha avó aí minha mãe vai falando p ela assim: “olha aí mãe a roliçinha vindo aí” po o bullying começa dentro de casa tá difícil viu,1
@Caiio_Eduardo Vc faz bullying cmg vei kkkkkkkk afff,1
a sabrynna faz muito bullying cmg 🌴,1
Vou fazer uma lista com o nome das menina que fizeram bullying comigo e me fizeram ter depressão na época do CPC.... tem um monte aqui no meu te,1
"Xuxa, queria mandar um beijo pras minhas “amigas” do ensino médio que riam das piadas de bullying que faziam comigo, pra você e pra sasha 
☺️",1
Yoora tem cara de fazer bullying mesmo. E ela tá é certa. #CHANYEOL @weareoneEXO,1
@amanda_arm Mas é bullying do bem 🖤,1
@duudaroch @ratcovv @joaorafael97 Kkkkkkkkkkkkkkkkkkk sofri bullying ontem com isso.,1
atenção estou sofrendo bullying #WatchAnnE,1
@vminlovepurple vc só faz bullying comigo vei😔✋,1
Jovem é alvo de bullying virtual por causa de foto,1
"@biaasarmento @jeffstyy pelo contrário, eu conheço pessoas que saíram de outras escolas pq sofreram bullying e se sentiram bem acolhidas aqui",1
"@viatenebrosa Eu dei gostosas risadas com a thread, cada explicação que ela dava pra convencer geral que ela não era privilegiada mostrava ainda mais os privilégios... galera fez bullying, mas é o tipo de bullying que forma caráter, espero que ela fique mais esperta agora...",1
"*dou like em algo aleatório da tl*

kkkkkkk mt bom deixa eu ver quem postou

quem postou: menina que fazia bullying adoidado comigo no fundamental  e apareceu na minha tl por like de outras

*retirando o like puta da cara*",1
"cite três motivos de vc amar tanto o gabriel — 1. me deixa no vácuo
2. caga na minha cabeça
3. faz bullying cmg",1
@lauramartins_3 olha o bullying Laura 😡,1
@mikWaddles Saudades de fazer bullying ao gordo da minha turma ou de gozar com o paneleiro dentuço,1
@millelovestwice EU NÃO GOSTO!!!! O BULLYING COMIGO,1
@willbotani_11 @duds__tavares @caurodr @th_allmeidaa tadinha se ela for sofrer bullying igual eu sofro 😭😭😭😭😭,1
@purehann to indo........ não gosto de sofrer bullying de viado,1
@kyuntiny isso é bullying,1
@Sacraostia Tava sofrendo bullying dms af,1
Mano o tt faz Bullying com o casas legit,1
RT @velud0: Mano o tt faz Bullying com o casas legit,1
@jayffc Kkkkkkk sofro de bullying,1
@Jooaovts @liz_clarinha @dudaojesus Olha o bullying com a criança kkkkkkkkkkk tadinha,1
Ja sofreu bullying? — já,1
"[31/7 20:36] Eloá: gente gorda com dente separado não tem q dar opinião
[31/7 20:38] Charles: Sarah?
[31/7 20:38] Eloá: eu mesma

Família já sabe qnd sou eu no cel da minha mãe qnd começo a fzr bullying",1
"só que eu, macaca velha, óbvio que botei pra fuder em cada um, não ia deixar que ngm pisasse em mim de novo. óbvio que não, né. e, bicho, QUEM FAZ BULLYING NO ENSINO MÉDIO PORRA? CRESCE. Enfim, essa reflexão toda foi pra chegar no dia de hoje +",1
@grazerwoIfhard @losersquadx bullying aqui no squad NÃO RESPEITO ACIMA DE TUDO,1
Eu não passei a adolescência toda sofrendo bullying por ser emo pra em 2019 vocês acharem cool ser emo.,1
@panigyaruu Quanto bullying comigo,1
"Mano o tanto de bullying que eu sofri no fundamental 1 por ser carioca kkkkkkkk teve um tempo que eu falava que era capixaba mesmo, pq era FODA",1
@loiseemanduca so bullying cmg,1
@Negralhaa isso é bullying,1
@anafelizz Será se isso tem alguma influência dos pais ? Meu pai vivia dizendo q eu era burra quando eu era criança. E ele pode sofrer bullying tbm. Só certeza q ele não foi que so olhou no espelho um dia e começou a se denegrir alguém disse p ele,1
O bullying pode mudar para pior o destino de alguém. Não seja o responsável por isso.,1
"fui brincar de leitura labial com o * e ele ""nana é baixa"" eu nao aguento mais sofrer esse bullying",1
@_tome13 @Fort_lol2k @_SuaWaifu Meus dentes e a testa da yass juntos contra o bullying,1
fuckin perfect foi na minha época de bullying no fundamental sangrei mto som desta ...,1
"@egicely tava refletindo ta bom?
o bullying pai amadoh",1
"não entendo. se vcs não gostaram da música ignora e segue em frente, literalmente não fez nada de mal pra ninguém além de ser baixa qualidade. honestamente vcs gostam de fazer bullying com as pessoas só por diversão",1
@yoonIisa 3 eu e ten fazendo bullying com o yuta amo boiolas unidos,1
a rafaela faz me bullying,1
"@raylane_dantas olha só, isso é bullying. Você me respeita ein! :,(",1
"O quanto quando criança sofri bullying, por ser diferente, por ser a estranha. Realmente eu era, não havia ninguém com a mesma cor de cabelo como o meu, o que se tornava motivo de chacota na escola",1
@bingxinnuendo Não. Alguns sofrem bullying por ser brancos demais (como minha amiga) mas racismo de jeito nenhum,1
@JorceCJr @K3andro_Andrad3 Para o bullying que me fazes acredita que sei,1
"@yeonjunsuri 1.55👍👍👍👍👍
o bullying começa agora",1
@faryazita Olha ai o bullying irmã,1
"@delucca N posso dizer da experiência de ter sido gordo. Só a de ter sido adolescente gay, sem vida afetiva, MT medo e autoestima bosta por causa de bullying e violência que hoje vira depressão a ponto de resistir a tds oportunidades de crescimento prof e emocional. A relação é direta msm",1
"@K1koFigueiredo so me fazes bullying Francisco, odeio-te",1
"gente eu sofro bullying da minha ex-monitora de física 2, isso tá errado

@yarissimaa vc se orgulha disso?",1
@_10Aguiar24_ Eu gosto de fazer bullying 😌,1
@tetissssss Depois chora que sofres bullying,1
"@martinharodri @MatiGolo7 Marta tou a ficar fã do teu bullying ao Matias, continua",1
@bxadeaky terapia das fortes quando se faz bullying com o colega,1
11. sofri bullying por que eu era gordinha e me chamavam de dragão (por ser feia);,1
"a garota maltrata animais, faz bullying e acha graça, acha que pedofilia é normal, chama mulher de vadia só porque ela namora, essa infeliz tem mais é que se foder mesmo",1
@bolinho073 Isso é bullying,1
lembrando q hj de manhã meus migos fizeram bullying com meu cafézin hj só pq estava sem açúcar mas na real estava perfeito 🤧,1
@bluetohisgreen mais um dia sofrendo bullying 😢 mas aceito,1
"@caum_pri uma guria expôs uma garota e mostrou os prints onde ela admitia maltratar animais, já tentou matar o irmão dela, falava que tem atração pelos professores dela e é fã do filme lolita (inclusive fazia piadas com pedofilia), falou q pratica bullying, q estupro é culpa da mulher, etc",1
@babykihox O bullying pskspsks,1
"@lovesmygsz o Ricardo ja fez bullying cmg no meio da rua, se eu pudesse matavakk",1
"@raindropslmjkcc @camilixzc se atacando falando muita besteira mandando hate fazendo bullying um com o outro, porém entendo seu ponto de vista e concordo, não sou a favor de nada, quero que Camila seja feliz porém eu vejo que tanto shawmila shippers e camren shippers estao falando muita coisa",1
"53. qdo eu era pequena eu sofria bullying por ser mt magra e eu fico mt triste com isso até hoje, mas eu n contava p ngm pq eu era muito indefesa e ngm ligava p mim",1
@SemClubismo_FC @jeanlucasma criança que vai sofrer bullying,1
"1 - Eric Smith, 13
Era uma vez um menino que sofria bullying na escola por causa de seus óculos fundo de garrafa, suas sardas, seu cabelo vermelho e suas grandes orelhas, efeitos colaterais do remédio que sua mãe tomou contra epilepsia durante a gravidez. Esse menino era Eric.",1
"a partir daí já soube que ia rolar bastante merda né

ai ok. 

hj era o dia de apresentar o trabalho e tals,mas eu fiquei puta pra caralho com o que um grupo de garotos fez no trabalho e falou sobre ele

mano,naquela sala todos os dias alguém sofre bullying,racismo e por aí vai",1
@L99HN não faz bullying comigo...,1
"@delucca Meu amigo tb era obeso e é gay, sofreu tanto bullying q parou de estudar por 2 anos.Emagreceu e hj em dia td hr muda o visual, ficou aquilo na cabecinha dele: ""vc nunca será bonito o suficiente, não importa o q faça, ainda se sentirá feio.""",1
@nonesready enquanto a gente espera a próxima att a gente faz bullying com a natalia 🤠🤠,1
"a fofa q é contra bullying na internet é a primeira a praticar na escola, n falo é mais nd",1
@eliatori0 Amigo n só fui e tirei como tbm mandei no grupo da ensino fundamental/médio que só tinha cão que fazia bullying comigo AUGE,1
comentando sobre essas listas que tá rolando em vrb e parei pra pensar o quanto um desses já fez bullying pesado com a minha pessoa,1
@_0medeiros9_ tb quero fazer bullying contigo,1
@CRF_raphaelaa Sabe q eu sou descolada e você vai sofrer bullying,1
RT @Henri_Silva0: @faryazita Olha ai o bullying irmã,1
"BELEZA AGORA O A SUNTO É BULLYING E SOLTOU UM ""ERA TÃO BOM PODER COLOCAR APELIDO ZOADO NOS OUTROS HJ EM DIA N PODE MAIS""",1
"13 Reasons Why - é baseada no livro Thirteen Reasons Why, de Jay Asher, e adaptado por Brian Yorkey para a Netflix. A série gira em torno de uma estudante que se mata após uma série de falhas culminantes (bullying) , provocadas por indivíduos selecionados dentro de sua escola. +",1
@goncaalves_22 fazem bullying comigo,1
@_Samys15 Eu não aguento mais aquele bullying 😫,1
@maria_arrais02 sou vítima de bullying nas vossas mãos 🥺,1
@Agiovanamaria o BuLlYiNg CoNtInUa?,1
@JC_Fontinha Aí ela sofre bullying,1
Isco fazendo bullying com Hazard KKKKKKKKKKKK,1
@Guilhermn1 O bullying continua???,1
@fvckingoth bullying só pq eu sou gamer,1
acho que a última vez que me senti tão feia assim foi em 2012 q faziam bullying cmg na escola,1
@strangxwike na época da escola eu q sofria bullying,1
@ddlspeak depende teve uma karina na minha escola q ja fez bullying comogo,1
@mariaavione olha o bullying,1
@bnyfds polegar cala-te meu a pita faz bullying com as pitas da ginástic,1
@petitinjun ó bullying,1
@kainomundo Olha o bullying,1
"@Gabrielleviiii faz bullying com brancos, sofro demais tá? 👍😭",1
@analumello_ Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk olha o bullying,1
@marianacnovato @muriex_txt Vc faz BULLYING comigo,1
@isa_franzon pra recompensar o bullying que vc fez cmg hj,1
@wtfkyung oLHA SANDRO ISSO É BULLYING,1
@bxadeaky Faz isso com o guri que tu faz bullying...palhaça,1
@mad_cookiee essa criança já nasceu sofrendo bullying,1
"Apesar do bullying e das inúmeras corridas e caminhadas que me fazes fazer, das melhores pessoas que tenho comigo e das que mais confio (fui fofinha cm sempre)",1
"@itsetoarda @solutionsbillie é porque o caso que tu citou é com todos. não é legal falar isso de ninguém em hipótese alguma e isso pode até virar bullying. não precisa pisar na pessoa. porque quanto mais gente vê e acha graça, acha que é correto falar/fazer isso.",1
"@minseoktruth no primeiro ano do ensino médio eu entrei numa depressão pesada por causa de Bullying, passei esse ano todinho sem estudar, só comendo e dormindo por isso reprovei, quando fui prestar vestibular fui na correria pq via meus amigos na faculdade e eu não, então fui fazer algo. +",1
@mrt_mr05 olha para de me fazer bullying ok o foco é a cara não o cabelo,1
@matheus_timoteo @suelen_kauane Vamos criar um grupinho só de filhos de pastor e afins pra devolver o bullying que a gente recebe KKKKKKKKK,1
O mundo começou a dar errado quando paramos de fazer bullying com nerds e gamers...eu acho que tá na hora já de resolvermos isso hein...,1
O GRINCH ERA GENTE FINA E FERRARAM A CABEÇA DELE COM BULLYING. o trauma do bullying acabou com a experiência natalina pro grinch,1
a cena eh: eu meu pai e o rafa sentados no sofá fazendo sessão de bullying e se amando.,1
@anapereiraa10 Eu sofri de bullying mais novo que isso... Existem pessoas horríveis em qualquer idade...,1
