original_text;target;unigrams;bigrams;pos_tag
"tw
.
.
.
.

já furaram minha cabeça com um garfo de plástico quebrado. eu tinha uns 9/10 anos de idade. mas sofri bullying o fundamental 1 inteiro. e isso me machuca até hoje, principalmente porque o cara que me jogou no chão e me chutou faz o msm curso que eu, na msm faculdade";1;['tw', '.', '.', '.', '.', 'já', 'furaram', 'minha', 'cabeça', 'com', 'um', 'garfo', 'de', 'plástico', 'quebrado', '.', 'eu', 'tinha', 'uns', '9/10', 'anos', 'de', 'idade', '.', 'mas', 'sofri', 'bullying', 'o', 'fundamental', '1', 'inteiro', '.', 'e', 'isso', 'me', 'machuca', 'até', 'hoje', ',', 'principalmente', 'porque', 'o', 'cara', 'que', 'me', 'jogou', 'no', 'chão', 'e', 'me', 'chutou', 'faz', 'o', 'msm', 'curso', 'que', 'eu', ',', 'na', 'msm', 'faculdade'];[('tw', '.'), ('.', '.'), ('.', '.'), ('.', '.'), ('.', 'já'), ('já', 'furaram'), ('furaram', 'minha'), ('minha', 'cabeça'), ('cabeça', 'com'), ('com', 'um'), ('um', 'garfo'), ('garfo', 'de'), ('de', 'plástico'), ('plástico', 'quebrado'), ('quebrado', '.'), ('.', 'eu'), ('eu', 'tinha'), ('tinha', 'uns'), ('uns', '9/10'), ('9/10', 'anos'), ('anos', 'de'), ('de', 'idade'), ('idade', '.'), ('.', 'mas'), ('mas', 'sofri'), ('sofri', 'bullying'), ('bullying', 'o'), ('o', 'fundamental'), ('fundamental', '1'), ('1', 'inteiro'), ('inteiro', '.'), ('.', 'e'), ('e', 'isso'), ('isso', 'me'), ('me', 'machuca'), ('machuca', 'até'), ('até', 'hoje'), ('hoje', ','), (',', 'principalmente'), ('principalmente', 'porque'), ('porque', 'o'), ('o', 'cara'), ('cara', 'que'), ('que', 'me'), ('me', 'jogou'), ('jogou', 'no'), ('no', 'chão'), ('chão', 'e'), ('e', 'me'), ('me', 'chutou'), ('chutou', 'faz'), ('faz', 'o'), ('o', 'msm'), ('msm', 'curso'), ('curso', 'que'), ('que', 'eu'), ('eu', ','), (',', 'na'), ('na', 'msm'), ('msm', 'faculdade')];[('tw', 'NN'), ('.', '.'), ('.', '.'), ('.', '.'), ('.', '.'), ('já', 'JJ'), ('furaram', 'JJ'), ('minha', 'NN'), ('cabeça', 'NN'), ('com', 'NN'), ('um', 'JJ'), ('garfo', 'NN'), ('de', 'IN'), ('plástico', 'FW'), ('quebrado', 'NN'), ('.', '.'), ('eu', 'CC'), ('tinha', 'JJ'), ('uns', 'JJ'), ('9/10', 'CD'), ('anos', 'NNS'), ('de', 'IN'), ('idade', 'NN'), ('.', '.'), ('mas', 'NN'), ('sofri', 'NN'), ('bullying', 'VBG'), ('o', 'JJ'), ('fundamental', 'JJ'), ('1', 'CD'), ('inteiro', 'NN'), ('.', '.'), ('e', 'NN'), ('isso', 'IN'), ('me', 'PRP'), ('machuca', 'VBP'), ('até', 'JJ'), ('hoje', 'NN'), (',', ','), ('principalmente', 'NN'), ('porque', 'NN'), ('o', 'NN'), ('cara', 'NN'), ('que', 'IN'), ('me', 'PRP'), ('jogou', 'VBZ'), ('no', 'DT'), ('chão', 'NN'), ('e', 'VB'), ('me', 'PRP'), ('chutou', 'JJ'), ('faz', 'JJ'), ('o', 'NN'), ('msm', 'NN'), ('curso', 'NN'), ('que', 'NN'), ('eu', 'NN'), (',', ','), ('na', 'TO'), ('msm', 'VB'), ('faculdade', 'NN')]
"tw
.
.
.
quando eu era mais nova, sofri muito bullying. me machucaram muito (fisicamente também), inclusive apanhei pra caralho uma vez pq não quis entregar uma garrafa de plástico (de água, que eu bebi) com a qual eu tava brincando +";1;['tw', '.', '.', '.', 'quando', 'eu', 'era', 'mais', 'nova', ',', 'sofri', 'muito', 'bullying', '.', 'me', 'machucaram', 'muito', '(', 'fisicamente', 'também', ')', ',', 'inclusive', 'apanhei', 'pra', 'caralho', 'uma', 'vez', 'pq', 'não', 'quis', 'entregar', 'uma', 'garrafa', 'de', 'plástico', '(', 'de', 'água', ',', 'que', 'eu', 'bebi', ')', 'com', 'a', 'qual', 'eu', 'tava', 'brincando', '+'];[('tw', '.'), ('.', '.'), ('.', '.'), ('.', 'quando'), ('quando', 'eu'), ('eu', 'era'), ('era', 'mais'), ('mais', 'nova'), ('nova', ','), (',', 'sofri'), ('sofri', 'muito'), ('muito', 'bullying'), ('bullying', '.'), ('.', 'me'), ('me', 'machucaram'), ('machucaram', 'muito'), ('muito', '('), ('(', 'fisicamente'), ('fisicamente', 'também'), ('também', ')'), (')', ','), (',', 'inclusive'), ('inclusive', 'apanhei'), ('apanhei', 'pra'), ('pra', 'caralho'), ('caralho', 'uma'), ('uma', 'vez'), ('vez', 'pq'), ('pq', 'não'), ('não', 'quis'), ('quis', 'entregar'), ('entregar', 'uma'), ('uma', 'garrafa'), ('garrafa', 'de'), ('de', 'plástico'), ('plástico', '('), ('(', 'de'), ('de', 'água'), ('água', ','), (',', 'que'), ('que', 'eu'), ('eu', 'bebi'), ('bebi', ')'), (')', 'com'), ('com', 'a'), ('a', 'qual'), ('qual', 'eu'), ('eu', 'tava'), ('tava', 'brincando'), ('brincando', '+')];[('tw', 'NN'), ('.', '.'), ('.', '.'), ('.', '.'), ('quando', 'JJ'), ('eu', 'NN'), ('era', 'NN'), ('mais', 'NN'), ('nova', 'NN'), (',', ','), ('sofri', 'NN'), ('muito', 'NN'), ('bullying', 'NN'), ('.', '.'), ('me', 'PRP'), ('machucaram', 'JJ'), ('muito', 'NN'), ('(', '('), ('fisicamente', 'JJ'), ('também', 'NN'), (')', ')'), (',', ','), ('inclusive', 'JJ'), ('apanhei', 'NN'), ('pra', 'NN'), ('caralho', 'NN'), ('uma', 'JJ'), ('vez', 'NN'), ('pq', 'NN'), ('não', 'NN'), ('quis', 'NN'), ('entregar', 'NN'), ('uma', 'JJ'), ('garrafa', 'NN'), ('de', 'IN'), ('plástico', 'FW'), ('(', '('), ('de', 'FW'), ('água', 'FW'), (',', ','), ('que', 'FW'), ('eu', 'FW'), ('bebi', 'NN'), (')', ')'), ('com', 'VBZ'), ('a', 'DT'), ('qual', 'JJ'), ('eu', 'NN'), ('tava', 'NN'), ('brincando', 'NN'), ('+', 'NN')]
o bullying simplesmente roubou um pedaço da minha vida eu passei 3 anos me escondendo de todas as formas possíveis pq me disseram que eu era horrível;1;['o', 'bullying', 'simplesmente', 'roubou', 'um', 'pedaço', 'da', 'minha', 'vida', 'eu', 'passei', '3', 'anos', 'me', 'escondendo', 'de', 'todas', 'as', 'formas', 'possíveis', 'pq', 'me', 'disseram', 'que', 'eu', 'era', 'horrível'];[('o', 'bullying'), ('bullying', 'simplesmente'), ('simplesmente', 'roubou'), ('roubou', 'um'), ('um', 'pedaço'), ('pedaço', 'da'), ('da', 'minha'), ('minha', 'vida'), ('vida', 'eu'), ('eu', 'passei'), ('passei', '3'), ('3', 'anos'), ('anos', 'me'), ('me', 'escondendo'), ('escondendo', 'de'), ('de', 'todas'), ('todas', 'as'), ('as', 'formas'), ('formas', 'possíveis'), ('possíveis', 'pq'), ('pq', 'me'), ('me', 'disseram'), ('disseram', 'que'), ('que', 'eu'), ('eu', 'era'), ('era', 'horrível')];[('o', 'NN'), ('bullying', 'VBG'), ('simplesmente', 'JJ'), ('roubou', 'NN'), ('um', 'JJ'), ('pedaço', 'NN'), ('da', 'NN'), ('minha', 'NN'), ('vida', 'NN'), ('eu', 'NN'), ('passei', 'NN'), ('3', 'CD'), ('anos', 'IN'), ('me', 'PRP'), ('escondendo', 'FW'), ('de', 'FW'), ('todas', 'FW'), ('as', 'IN'), ('formas', 'NN'), ('possíveis', 'NN'), ('pq', 'IN'), ('me', 'PRP'), ('disseram', 'VBP'), ('que', 'JJ'), ('eu', 'NN'), ('era', 'NN'), ('horrível', 'NN')]
um menino fazia bullying cmg na escola aí falei pro meu primo que estudava na msm escola, dois anos acima do meu, ele bateu no menino e ele nunca mais chegou perto de mim e tinha medo só de olhar na minha direção dps disso;1;['um', 'menino', 'fazia', 'bullying', 'cmg', 'na', 'escola', 'aí', 'falei', 'pro', 'meu', 'primo', 'que', 'estudava', 'na', 'msm', 'escola', ',', 'dois', 'anos', 'acima', 'do', 'meu', ',', 'ele', 'bateu', 'no', 'menino', 'e', 'ele', 'nunca', 'mais', 'chegou', 'perto', 'de', 'mim', 'e', 'tinha', 'medo', 'só', 'de', 'olhar', 'na', 'minha', 'direção', 'dps', 'disso'];[('um', 'menino'), ('menino', 'fazia'), ('fazia', 'bullying'), ('bullying', 'cmg'), ('cmg', 'na'), ('na', 'escola'), ('escola', 'aí'), ('aí', 'falei'), ('falei', 'pro'), ('pro', 'meu'), ('meu', 'primo'), ('primo', 'que'), ('que', 'estudava'), ('estudava', 'na'), ('na', 'msm'), ('msm', 'escola'), ('escola', ','), (',', 'dois'), ('dois', 'anos'), ('anos', 'acima'), ('acima', 'do'), ('do', 'meu'), ('meu', ','), (',', 'ele'), ('ele', 'bateu'), ('bateu', 'no'), ('no', 'menino'), ('menino', 'e'), ('e', 'ele'), ('ele', 'nunca'), ('nunca', 'mais'), ('mais', 'chegou'), ('chegou', 'perto'), ('perto', 'de'), ('de', 'mim'), ('mim', 'e'), ('e', 'tinha'), ('tinha', 'medo'), ('medo', 'só'), ('só', 'de'), ('de', 'olhar'), ('olhar', 'na'), ('na', 'minha'), ('minha', 'direção'), ('direção', 'dps'), ('dps', 'disso')];[('um', 'JJ'), ('menino', 'NN'), ('fazia', 'NN'), ('bullying', 'VBG'), ('cmg', 'NN'), ('na', 'TO'), ('escola', 'VB'), ('aí', 'JJ'), ('falei', 'JJ'), ('pro', 'FW'), ('meu', 'FW'), ('primo', 'NN'), ('que', 'NN'), ('estudava', 'FW'), ('na', 'TO'), ('msm', 'VB'), ('escola', 'NN'), (',', ','), ('dois', 'JJ'), ('anos', 'NNS'), ('acima', 'RB'), ('do', 'VBP'), ('meu', 'NNS'), (',', ','), ('ele', 'VBP'), ('bateu', 'JJ'), ('no', 'DT'), ('menino', 'NN'), ('e', 'VBZ'), ('ele', 'JJ'), ('nunca', 'JJ'), ('mais', 'NN'), ('chegou', 'NN'), ('perto', 'NN'), ('de', 'IN'), ('mim', 'FW'), ('e', 'FW'), ('tinha', 'FW'), ('medo', 'FW'), ('só', 'FW'), ('de', 'FW'), ('olhar', 'FW'), ('na', 'FW'), ('minha', 'FW'), ('direção', 'FW'), ('dps', 'NN'), ('disso', 'NN')]
um pouco de bullying, algumas amizades e bolsa 100% então gratidão mesmo assim;1;['um', 'pouco', 'de', 'bullying', ',', 'algumas', 'amizades', 'e', 'bolsa', '100', '%', 'então', 'gratidão', 'mesmo', 'assim'];[('um', 'pouco'), ('pouco', 'de'), ('de', 'bullying'), ('bullying', ','), (',', 'algumas'), ('algumas', 'amizades'), ('amizades', 'e'), ('e', 'bolsa'), ('bolsa', '100'), ('100', '%'), ('%', 'então'), ('então', 'gratidão'), ('gratidão', 'mesmo'), ('mesmo', 'assim')];[('um', 'JJ'), ('pouco', 'NN'), ('de', 'IN'), ('bullying', 'NN'), (',', ','), ('algumas', 'RB'), ('amizades', 'VBZ'), ('e', 'JJ'), ('bolsa', 'RB'), ('100', 'CD'), ('%', 'NN'), ('então', 'JJ'), ('gratidão', 'NN'), ('mesmo', 'NN'), ('assim', 'NN')]
"no fundamental, eu era a criança hiperativa que encontrava na ed fis uma válvula de escape pra me soltar
o fato de ter sofrido bullying e ter sido sempre o último a ser escolhido/único a ficar de fora me deixava muito péssimo a ponto de me fazer odiar essa matéria até hoje";1;['no', 'fundamental', ',', 'eu', 'era', 'a', 'criança', 'hiperativa', 'que', 'encontrava', 'na', 'ed', 'fis', 'uma', 'válvula', 'de', 'escape', 'pra', 'me', 'soltar', 'o', 'fato', 'de', 'ter', 'sofrido', 'bullying', 'e', 'ter', 'sido', 'sempre', 'o', 'último', 'a', 'ser', 'escolhido/único', 'a', 'ficar', 'de', 'fora', 'me', 'deixava', 'muito', 'péssimo', 'a', 'ponto', 'de', 'me', 'fazer', 'odiar', 'essa', 'matéria', 'até', 'hoje'];[('no', 'fundamental'), ('fundamental', ','), (',', 'eu'), ('eu', 'era'), ('era', 'a'), ('a', 'criança'), ('criança', 'hiperativa'), ('hiperativa', 'que'), ('que', 'encontrava'), ('encontrava', 'na'), ('na', 'ed'), ('ed', 'fis'), ('fis', 'uma'), ('uma', 'válvula'), ('válvula', 'de'), ('de', 'escape'), ('escape', 'pra'), ('pra', 'me'), ('me', 'soltar'), ('soltar', 'o'), ('o', 'fato'), ('fato', 'de'), ('de', 'ter'), ('ter', 'sofrido'), ('sofrido', 'bullying'), ('bullying', 'e'), ('e', 'ter'), ('ter', 'sido'), ('sido', 'sempre'), ('sempre', 'o'), ('o', 'último'), ('último', 'a'), ('a', 'ser'), ('ser', 'escolhido/único'), ('escolhido/único', 'a'), ('a', 'ficar'), ('ficar', 'de'), ('de', 'fora'), ('fora', 'me'), ('me', 'deixava'), ('deixava', 'muito'), ('muito', 'péssimo'), ('péssimo', 'a'), ('a', 'ponto'), ('ponto', 'de'), ('de', 'me'), ('me', 'fazer'), ('fazer', 'odiar'), ('odiar', 'essa'), ('essa', 'matéria'), ('matéria', 'até'), ('até', 'hoje')];[('no', 'DT'), ('fundamental', 'JJ'), (',', ','), ('eu', 'JJ'), ('era', 'NN'), ('a', 'DT'), ('criança', 'NN'), ('hiperativa', 'NN'), ('que', 'NN'), ('encontrava', 'FW'), ('na', 'TO'), ('ed', 'VB'), ('fis', 'JJ'), ('uma', 'JJ'), ('válvula', 'NN'), ('de', 'IN'), ('escape', 'FW'), ('pra', 'FW'), ('me', 'PRP'), ('soltar', 'VBP'), ('o', 'JJ'), ('fato', 'NN'), ('de', 'IN'), ('ter', 'NN'), ('sofrido', 'NN'), ('bullying', 'VBG'), ('e', 'JJ'), ('ter', 'NN'), ('sido', 'NN'), ('sempre', 'NN'), ('o', 'NN'), ('último', 'VBZ'), ('a', 'DT'), ('ser', 'NN'), ('escolhido/único', 'VBZ'), ('a', 'DT'), ('ficar', 'NN'), ('de', 'IN'), ('fora', 'FW'), ('me', 'PRP'), ('deixava', 'VBP'), ('muito', 'JJ'), ('péssimo', 'NN'), ('a', 'DT'), ('ponto', 'NN'), ('de', 'IN'), ('me', 'PRP'), ('fazer', 'VBP'), ('odiar', 'JJ'), ('essa', 'FW'), ('matéria', 'FW'), ('até', 'NN'), ('hoje', 'NN')]
piazada quer falar de bullying pra mim, logo eu que desde os 7 anos de idade era chamado de buddy poke e jack chan pelos meninos mais velhos da escola;1;['piazada', 'quer', 'falar', 'de', 'bullying', 'pra', 'mim', ',', 'logo', 'eu', 'que', 'desde', 'os', '7', 'anos', 'de', 'idade', 'era', 'chamado', 'de', 'buddy', 'poke', 'e', 'jack', 'chan', 'pelos', 'meninos', 'mais', 'velhos', 'da', 'escola'];[('piazada', 'quer'), ('quer', 'falar'), ('falar', 'de'), ('de', 'bullying'), ('bullying', 'pra'), ('pra', 'mim'), ('mim', ','), (',', 'logo'), ('logo', 'eu'), ('eu', 'que'), ('que', 'desde'), ('desde', 'os'), ('os', '7'), ('7', 'anos'), ('anos', 'de'), ('de', 'idade'), ('idade', 'era'), ('era', 'chamado'), ('chamado', 'de'), ('de', 'buddy'), ('buddy', 'poke'), ('poke', 'e'), ('e', 'jack'), ('jack', 'chan'), ('chan', 'pelos'), ('pelos', 'meninos'), ('meninos', 'mais'), ('mais', 'velhos'), ('velhos', 'da'), ('da', 'escola')];[('piazada', 'NN'), ('quer', 'NN'), ('falar', 'NN'), ('de', 'IN'), ('bullying', 'VBG'), ('pra', 'NN'), ('mim', 'NN'), (',', ','), ('logo', 'JJ'), ('eu', 'NN'), ('que', 'NN'), ('desde', 'NN'), ('os', 'VBD'), ('7', 'CD'), ('anos', 'NNS'), ('de', 'IN'), ('idade', 'FW'), ('era', 'NN'), ('chamado', 'NN'), ('de', 'IN'), ('buddy', 'FW'), ('poke', 'FW'), ('e', 'FW'), ('jack', 'NN'), ('chan', 'NN'), ('pelos', 'NN'), ('meninos', 'NNS'), ('mais', 'VBP'), ('velhos', 'JJ'), ('da', 'NN'), ('escola', 'NN')]
vc já foi alvo de bullying? — sim :(;1;['vc', 'já', 'foi', 'alvo', 'de', 'bullying', '?', '—', 'sim', ':', '('];[('vc', 'já'), ('já', 'foi'), ('foi', 'alvo'), ('alvo', 'de'), ('de', 'bullying'), ('bullying', '?'), ('?', '—'), ('—', 'sim'), ('sim', ':'), (':', '(')];[('vc', 'NN'), ('já', 'NN'), ('foi', 'JJ'), ('alvo', 'NN'), ('de', 'IN'), ('bullying', 'VBG'), ('?', '.'), ('—', 'JJ'), ('sim', 'NN'), (':', ':'), ('(', '(')]
__username__ pq eu sou o que mais vai zoar se eu n faço mais bullying com vc?? preocupe-se com o caio e shiro;1;['__username__', 'pq', 'eu', 'sou', 'o', 'que', 'mais', 'vai', 'zoar', 'se', 'eu', 'n', 'faço', 'mais', 'bullying', 'com', 'vc', '?', '?', 'preocupe-se', 'com', 'o', 'caio', 'e', 'shiro'];[('__username__', 'pq'), ('pq', 'eu'), ('eu', 'sou'), ('sou', 'o'), ('o', 'que'), ('que', 'mais'), ('mais', 'vai'), ('vai', 'zoar'), ('zoar', 'se'), ('se', 'eu'), ('eu', 'n'), ('n', 'faço'), ('faço', 'mais'), ('mais', 'bullying'), ('bullying', 'com'), ('com', 'vc'), ('vc', '?'), ('?', '?'), ('?', 'preocupe-se'), ('preocupe-se', 'com'), ('com', 'o'), ('o', 'caio'), ('caio', 'e'), ('e', 'shiro')];[('__username__', 'JJ'), ('pq', 'NN'), ('eu', 'NN'), ('sou', 'NN'), ('o', 'NN'), ('que', 'NN'), ('mais', 'NN'), ('vai', 'NN'), ('zoar', 'NN'), ('se', 'NN'), ('eu', 'NN'), ('n', 'JJ'), ('faço', 'NN'), ('mais', 'NN'), ('bullying', 'VBG'), ('com', 'NN'), ('vc', 'NN'), ('?', '.'), ('?', '.'), ('preocupe-se', 'JJ'), ('com', 'NN'), ('o', 'NN'), ('caio', 'NN'), ('e', 'NN'), ('shiro', 'NN')]
"vim relatar uma abuso
estou sofrendo bullying do __username__ e do marcelo";1;['vim', 'relatar', 'uma', 'abuso', 'estou', 'sofrendo', 'bullying', 'do', '__username__', 'e', 'do', 'marcelo'];[('vim', 'relatar'), ('relatar', 'uma'), ('uma', 'abuso'), ('abuso', 'estou'), ('estou', 'sofrendo'), ('sofrendo', 'bullying'), ('bullying', 'do'), ('do', '__username__'), ('__username__', 'e'), ('e', 'do'), ('do', 'marcelo')];[('vim', 'NN'), ('relatar', 'NN'), ('uma', 'JJ'), ('abuso', 'NN'), ('estou', 'NN'), ('sofrendo', 'NN'), ('bullying', 'VBG'), ('do', 'VBP'), ('__username__', 'VB'), ('e', 'VB'), ('do', 'VB'), ('marcelo', 'NNS')]
